time,A,B,C,D
20,5.4,5.6,5,4
40,9.6,10.4,10.8,9.2
60,13.4,17.4,14.8,12.4
80,19.8,16.2,20.6,21.4
100,27.2,23.4,26.2,22.8







